Text,Back Extra,Word,TranslationJa,Audio,Image
"事前に, 前もって<br>We booked our tickets {{c1::in advance}}.","in advance<br>事前に, 前もって<br>[sound:ukadult007.mp3]<br><img src=""paste-999c82aafccbff3af4485f0ca2d047e342ce0b10.png"">",in advance,"事前に, 前もって",ukadult007.mp3,paste-999c82aafccbff3af4485f0ca2d047e342ce0b10.png
"上級の, 高度な<br>an {{c1::advanced}} English Course","advanced<br>上級の, 高度な<br>[sound:ukadult008.mp3]<br><img src=""advanced.jpg"">",advanced,"上級の, 高度な",ukadult008.mp3,advanced.jpg
"利点, 有利な点, 強み<br>One {{c1::advantage}} of living in town is being close to all the shops.","advantage<br>利点, 有利な点, 強み<br>[sound:ukadult010.mp3]<br><img src=""paste-65eec8e56e4102a33047f1dc7c5f4e0396ea11d4.png"">",advantage,"利点, 有利な点, 強み",ukadult010.mp3,paste-65eec8e56e4102a33047f1dc7c5f4e0396ea11d4.png
"有利な, 都合のよい<br>{{c1::advantageous}} interest rates","advantageous<br>有利な, 都合のよい<br>[sound:ukadult011.mp3]<br><img src=""advantageous.jpg"">",advantageous,"有利な, 都合のよい",ukadult011.mp3,advantageous.jpg
"～を宣伝する, 広告する<br>Companies are not allowed to {{c1::advertise}} cigarettes on television.","advertise<br>～を宣伝する, 広告する<br>[sound:ukadult029.mp3]<br><img src=""advertise.jpg"">",advertise,"～を宣伝する, 広告する",ukadult029.mp3,advertise.jpg
"広告, 宣伝<br>a newspaper/television/online {{c1::advertisement}}","advertisement<br>広告, 宣伝<br>[sound:ukadult030.mp3]<br><img src=""paste-6b58112ed112d7d140cc2c380697ffa1c03ed028.jpg"">",advertisement,"広告, 宣伝",ukadult030.mp3,paste-6b58112ed112d7d140cc2c380697ffa1c03ed028.jpg
"助言, アドバイス<br>This book gives {{c1::advice}} on saving money.","advice<br>助言, アドバイス<br>[sound:ukadver004.mp3]<br><img src=""advice.jpg"">",advice,"助言, アドバイス",ukadver004.mp3,advice.jpg
"～に助言する, アドバイスする<br>I would {{c1::advise}} him to see a doctor.","advise<br>～に助言する, アドバイスする<br>[sound:ukadver007.mp3]<br><img src=""advise.jpg"">",advise,"～に助言する, アドバイスする",ukadver007.mp3,advise.jpg
"～に影響する, 影響を与える<br>How will the new road {{c1::affect}} the community?","affect<br>～に影響する, 影響を与える<br>[sound:ukaerog018.mp3]<br><img src=""paste-394d642b39a9dc0ff72a61c575d95f4ddb372886.png"">",affect,"～に影響する, 影響を与える",ukaerog018.mp3,paste-394d642b39a9dc0ff72a61c575d95f4ddb372886.png
"（～を買う）お金がある/ない, （～する）時間がある/ない<br>Can we {{c1::afford}} a new car?","afford<br>（～を買う）お金がある/ない, （～する）時間がある/ない<br>[sound:ukaffir011.mp3]<br><img src=""afford.jpg"">",afford,"（～を買う）お金がある/ない, （～する）時間がある/ない",ukaffir011.mp3,afford.jpg
"手頃な価格の, 手が届く値段の<br>{{c1::affordable}} housing/prices","affordable<br>手頃な価格の, 手が届く値段の<br>[sound:ukaffir012.mp3]<br><img src=""paste-593d22b51c2ea54da6f5c03c83e08c83d735542e.jpg"">",affordable,"手頃な価格の, 手が届く値段の",ukaffir012.mp3,paste-593d22b51c2ea54da6f5c03c83e08c83d735542e.jpg
代理店<br>an advertising {{c1::agency}},"agency<br>代理店<br>[sound:ukage__008.mp3]<br><img src=""agency.jpg"">",agency,代理店,ukage__008.mp3,agency.jpg
"議題, 協議事項<br>There are several items on the {{c1::agenda}}.","agenda<br>議題, 協議事項<br>[sound:ukage__009.mp3]<br><img src=""agenda.jpg"">",agenda,"議題, 協議事項",ukage__009.mp3,agenda.jpg
"賛成する, 同感である<br>I {{c1::agree}} with you.","agree<br>賛成する, 同感である<br>[sound:ukagita021.mp3]<br><img src=""agree.jpg"">",agree,"賛成する, 同感である",ukagita021.mp3,agree.jpg
快い，感じ[愛想]のよい.<br>We spent a most {{c1::agreeable}} evening by the river.,"agreeable<br>快い，感じ[愛想]のよい.<br>[sound:ukagita022.mp3]<br><img src=""agreeable.jpg"">",agreeable,快い，感じ[愛想]のよい.,ukagita022.mp3,agreeable.jpg
合意<br>The company and the union reached an {{c1::agreement}}.,"agreement<br>合意<br>[sound:ukagita024.mp3]<br><img src=""agreement.jpg"">",agreement,合意,ukagita024.mp3,agreement.jpg
"農業; 農芸
《★畜産・林業を含む》.<br>{{c1::Agriculture}} is still largely based on traditional methods in some countries.","agriculture<br>農業; 農芸
《★畜産・林業を含む》.<br>[sound:ukagita027.mp3]<br><img src=""agriculture.jpg"">",agriculture,"農業; 農芸
《★畜産・林業を含む》.",ukagita027.mp3,agriculture.jpg
"救助, 支援, 支援物資<br>Emergency {{c1::aid}} was sent to the flood victims.","aid<br>救助, 支援, 支援物資<br>[sound:ukaha__008.mp3]<br><img src=""aid.jpg"">",aid,"救助, 支援, 支援物資",ukaha__008.mp3,aid.jpg
"目的, 目標, ねらい<br>The {{c1::aim}} of the movie was to make people laugh.","aim<br>目的, 目標, ねらい<br>[sound:ukaha__015.mp3]<br><img src=""aim.jpg"">",aim,"目的, 目標, ねらい",ukaha__015.mp3,aim.jpg
航空会社<br>What {{c1::airline}} did you fly with?,"airline<br>航空会社<br>[sound:ukairfi010.mp3]<br><img src=""airline.jpg"">",airline,航空会社,ukairfi010.mp3,airline.jpg
（座席間の）通路<br>Would you like an {{c1::aisle}} seat or would you prefer to be by the window?,"aisle<br>（座席間の）通路<br>[sound:ukairwo004.mp3]<br><img src=""aisle.jpg"">",aisle,（座席間の）通路,ukairwo004.mp3,aisle.jpg
警報<br>a fire {{c1::alarm}},"alarm<br>警報<br>[sound:ukairwo018.mp3]<br><img src=""alarm.jpg"">",alarm,警報,ukairwo018.mp3,alarm.jpg
"～に許可する, （～することを）～に許す<br>They didn't {{c1::allow}} me to finish what I was doing.","allow<br>～に許可する, （～することを）～に許す<br>[sound:ukallev015.mp3]<br><img src=""allow.jpg"">",allow,"～に許可する, （～することを）～に許す",ukallev015.mp3,allow.jpg
（2つ以上から）選択できるもの<br>Olive oil is a healthy {{c1::alternative}} to butter.,"alternative<br>（2つ以上から）選択できるもの<br>[sound:ukaltar009.mp3]<br><img src=""alternative.jpg"">",alternative,（2つ以上から）選択できるもの,ukaltar009.mp3,alternative.jpg
"野心的な, 大志を抱いた<br>an {{c1::ambitious}} young lawyer","ambitious<br>野心的な, 大志を抱いた<br>[sound:ukamalg030.mp3]<br><img src=""ambitious.jpg"">",ambitious,"野心的な, 大志を抱いた",ukamalg030.mp3,ambitious.jpg
〈議案などを〉修正する.<br>MPs were urged to {{c1::amend}} the law to prevent another oil tanker disaster.,"amend<br>〈議案などを〉修正する.<br>[sound:ukambit018.mp3]<br><img src=""amend.jpg"">",amend,〈議案などを〉修正する.,ukambit018.mp3,amend.jpg
"量, 額<br>He ate a huge {{c1::amount}} of food.","amount<br>量, 額<br>[sound:ukamort005.mp3]<br><img src=""amount.jpg"">",amount,"量, 額",ukamort005.mp3,amount.jpg
"おもしろい, おかしい<br>an {{c1::amusing}} letter","amusing<br>おもしろい, おかしい<br>[sound:ukamusi001.mp3]<br><img src=""amusing.jpg"">",amusing,"おもしろい, おかしい",ukamusi001.mp3,amusing.jpg
"（英）～を分析する, 解析する<br>to {{c1::analyse}} information","analyse<br>（英）～を分析する, 解析する<br>[sound:ukamusi023.mp3]<br><img src=""paste-adf28358750a42f8e3c0d6e30950f3ca34dab74d.png"">",analyse,"（英）～を分析する, 解析する",ukamusi023.mp3,paste-adf28358750a42f8e3c0d6e30950f3ca34dab74d.png
"分析, 解析<br>A sample of soil was sent for {{c1::analysis}}.","analysis<br>分析, 解析<br>[sound:ukamusi025.mp3]<br><img src=""analysis.jpg"">",analysis,"分析, 解析",ukamusi025.mp3,analysis.jpg
"発表, 公表, 声明<br>The Prime Minister made an unexpected {{c1::announcement}} this morning.","announcement<br>発表, 公表, 声明<br>[sound:ukanima030.mp3]<br><img src=""announcement.jpg"">",announcement,"発表, 公表, 声明",ukanima030.mp3,announcement.jpg
"腹立たしい, 迷惑な、うるさい<br>She has an {{c1::annoying}} habit of interrupting people.","annoying<br>腹立たしい, 迷惑な、うるさい<br>[sound:ukannou005.mp3]<br><img src=""annoying.jpg"">",annoying,"腹立たしい, 迷惑な、うるさい",ukannou005.mp3,annoying.jpg
"年に一度の, 毎年恒例の<br>an {{c1::annual}} meeting","annual<br>年に一度の, 毎年恒例の<br>[sound:ukannou007.mp3]<br><img src=""paste-6401a4827dc472d7f5f3d05882acdad4bb768f0a.jpg"">",annual,"年に一度の, 毎年恒例の",ukannou007.mp3,paste-6401a4827dc472d7f5f3d05882acdad4bb768f0a.jpg
"～を予期する, 見込む<br>We {{c1::anticipate}} that prices will fall next year.","anticipate<br>～を予期する, 見込む<br>[sound:ukantep026.mp3]<br><img src=""anticipate.jpg"">",anticipate,"～を予期する, 見込む",ukantep026.mp3,anticipate.jpg
"不安な, 心配して<br>She’s very {{c1::anxious}} about her exams.","anxious<br>不安な, 心配して<br>[sound:ukantis012.mp3]<br><img src=""anxious.jpg"">",anxious,"不安な, 心配して",ukantis012.mp3,anxious.jpg
"謝る, 謝罪する<br>He {{c1::apologized}} for being rude.","apologize<br>謝る, 謝罪する<br>[sound:ukapolo001.mp3]<br><img src=""apologize.jpg"">",apologize,"謝る, 謝罪する",ukapolo001.mp3,apologize.jpg
"魅力, だいご味<br>I've never understood the {{c1::appeal}} of skiing.","appeal<br>魅力, だいご味<br>[sound:ukapolo023.mp3]<br><img src=""paste-cf4c6ac93ad4c4b45888d4438e5405c8d2c7761e.png"">",appeal,"魅力, だいご味",ukapolo023.mp3,paste-cf4c6ac93ad4c4b45888d4438e5405c8d2c7761e.png
前菜<br>We had olives as an {{c1::appetizer}}.,"appetizer<br>前菜<br>[sound:ukappen010.mp3]<br><img src=""appetizer.jpg"">",appetizer,前菜,ukappen010.mp3,appetizer.jpg
"電化製品, 電気器具<br>They sell refrigerators, dishwashers, and other electrical {{c1::appliances}}.","appliance<br>電化製品, 電気器具<br>[sound:ukappen017.mp3]<br><img src=""appliance.jpg"">",appliance,"電化製品, 電気器具",ukappen017.mp3,appliance.jpg
"申請者, 応募者, 出願者<br>There were over 50 {{c1::applicants}} for the job.","applicant<br>申請者, 応募者, 出願者<br>[sound:ukappen019.mp3]<br><img src=""applicant.jpg"">",applicant,"申請者, 応募者, 出願者",ukappen019.mp3,applicant.jpg
"申請, 申込, 出願アプリケーション<br>an {{c1::application}} for a bank loan","application<br>申請, 申込, 出願アプリケーション<br>[sound:ukappen020.mp3]<br><img src=""application.jpg"">",application,"申請, 申込, 出願アプリケーション",ukappen020.mp3,application.jpg
"申し込む, 申請する, 応募する<br>I've {{c1::applied}} for a job.","apply<br>申し込む, 申請する, 応募する<br>[sound:ukappen024.mp3]<br><img src=""apply.jpg"">",apply,"申し込む, 申請する, 応募する",ukappen024.mp3,apply.jpg
"～を指名する, 任命する<br>He was {{c1::appointed}} as company director last year.","appoint<br>～を指名する, 任命する<br>[sound:ukappen025.mp3]<br><img src=""appoint.jpg"">",appoint,"～を指名する, 任命する",ukappen025.mp3,appoint.jpg
"予約, 約束<br>I've made an {{c1::appointment}} with the dentist.","appointment<br>予約, 約束<br>[sound:ukappen028.mp3]<br><img src=""appointment.jpg"">",appointment,"予約, 約束",ukappen028.mp3,appointment.jpg
目に見えるほどの; 明らかな，かなりの.<br>There has been an {{c1::appreciable}} drop in the number of unemployed since the new government came to power.,"appreciable<br>目に見えるほどの; 明らかな，かなりの.<br>[sound:ukappra005.mp3]<br><img src=""paste-a6cdf98ae8e498ddc38b4f65063b349cb85133bc.jpg"">",appreciable,目に見えるほどの; 明らかな，かなりの.,ukappra005.mp3,paste-a6cdf98ae8e498ddc38b4f65063b349cb85133bc.jpg
"感謝する, ～の価値を認める<br>He wouldn't {{c1::appreciate}} an expensive wine.","appreciate<br>感謝する, ～の価値を認める<br>[sound:ukappra007.mp3]<br><img src=""paste-426f28519df4935f2095ebe000c433365d359c76.png"">",appreciate,"感謝する, ～の価値を認める",ukappra007.mp3,paste-426f28519df4935f2095ebe000c433365d359c76.png
鑑賞、評価、感謝<br>His {{c1::appreciation}} of art increased as he grew older.,"appreciation<br>鑑賞、評価、感謝<br>[sound:ukappra008.mp3]<br><img src=""paste-d4e9162ce80a9a1714284eb8e86bc6d04becded0.jpg"">",appreciation,鑑賞、評価、感謝,ukappra008.mp3,paste-d4e9162ce80a9a1714284eb8e86bc6d04becded0.jpg
鑑識眼のある，目の高い<br>It's nice to have an {{c1::appreciative}} audience.,"appreciative<br>鑑識眼のある，目の高い<br>[sound:ukappra009.mp3]<br><img src=""paste-e6dbb358809a2b42fe1df9b656c08b8cb8a17434.jpg"">",appreciative,鑑識眼のある，目の高い,ukappra009.mp3,paste-e6dbb358809a2b42fe1df9b656c08b8cb8a17434.jpg
見習い<br>Most of the work was done by {{c1::apprentices}}.,"apprentice<br>見習い<br>[sound:ukappra015.mp3]<br><img src=""apprentice.jpg"">",apprentice,見習い,ukappra015.mp3,apprentice.jpg
"（距離や時間が）～に近づく, 近寄る<br>The crowd cheered as she {{c1::approached}} the finishing line.","approach<br>（距離や時間が）～に近づく, 近寄る<br>[sound:ukappra018.mp3]<br><img src=""paste-366371fcfd88b20fc5451a924c8f2f807a494bdc.jpg"">",approach,"（距離や時間が）～に近づく, 近寄る",ukappra018.mp3,paste-366371fcfd88b20fc5451a924c8f2f807a494bdc.jpg
"適切な, 正しい<br>Is this movie {{c1::appropriate}} for young children?","appropriate<br>適切な, 正しい<br>[sound:ukappra022.mp3]<br><img src=""paste-2f3cfcb6acd7e90ab16dc5f7f41f47cd76963037.jpg"">",appropriate,"適切な, 正しい",ukappra022.mp3,paste-2f3cfcb6acd7e90ab16dc5f7f41f47cd76963037.jpg
"～を承認する, 許可する<br>The council has {{c1::approved}} plans for a new library.","approve<br>～を承認する, 許可する<br>[sound:ukappra028.mp3]<br><img src=""paste-ca9e28c1dfd213af2e2b2fe6baf58f76c697b564.png"">",approve,"～を承認する, 許可する",ukappra028.mp3,paste-ca9e28c1dfd213af2e2b2fe6baf58f76c697b564.png
"おおよその, 概算の<br>What is the {{c1::approximate}} cost of a taxi to the airport?","approximate<br>おおよその, 概算の<br>[sound:ukappro004.mp3]<br><img src=""paste-6ee604be8bbd0a0a1fa09d73fda8bdee44ec0a0a.jpg"">",approximate,"おおよその, 概算の",ukappro004.mp3,paste-6ee604be8bbd0a0a1fa09d73fda8bdee44ec0a0a.jpg
〔…の間の〕仲裁[調停]をする 〔between〕.<br>I've been asked to {{c1::arbitrate}} between the opposing sides.,"arbitrate<br>〔…の間の〕仲裁[調停]をする 〔between〕.<br>[sound:ukaquat019.mp3]<br><img src=""arbitrate.jpg"">",arbitrate,〔…の間の〕仲裁[調停]をする 〔between〕.,ukaquat019.mp3,arbitrate.jpg
"地域, 地方<br>a poor {{c1::area}}","area<br>地域, 地方<br>[sound:ukarchi015.mp3]<br><img src=""area.jpg"">",area,"地域, 地方",ukarchi015.mp3,area.jpg
"口論する, 言い合う<br>My parents are always {{c1::arguing}} about money.","argue<br>口論する, 言い合う<br>[sound:ukarchi026.mp3]<br><img src=""argue.jpg"">",argue,"口論する, 言い合う",ukarchi026.mp3,argue.jpg
議論、引数<br>They had an {{c1::argument}} about who should clean the house.,"argument<br>議論、引数<br>[sound:ukarchi027.mp3]<br><img src=""paste-a2b1bc0eeb8c82a5176929f5a3718c4dc5d09977.jpg"">",argument,議論、引数,ukarchi027.mp3,paste-a2b1bc0eeb8c82a5176929f5a3718c4dc5d09977.jpg
"～を手配する, 準備する, 計画する<br>I've {{c1::arranged}} a meeting with him.","arrange<br>～を手配する, 準備する, 計画する<br>[sound:ukarmho023.mp3]<br><img src=""arrange.jpg"">",arrange,"～を手配する, 準備する, 計画する",ukarmho023.mp3,arrange.jpg
"準備, 用意, 計画<br>I made {{c1::arrangements}} to meet her on Saturday.","arrangement<br>準備, 用意, 計画<br>[sound:ukarmho024.mp3]<br><img src=""323521_Thumb_400.jpg"">",arrangement,"準備, 用意, 計画",ukarmho024.mp3,323521_Thumb_400.jpg
"集まる, 集める, 集合する（させる）<br>They {{c1::assembled}} in the meeting room after lunch.","assemble<br>集まる, 集める, 集合する（させる）<br>[sound:ukassau004.mp3]<br><img src=""assemble.jpg"">",assemble,"集まる, 集める, 集合する（させる）",ukassau004.mp3,assemble.jpg
"～を査定する, 評価する<br>The tests are designed to {{c1::assess}} reading skills.","assess<br>～を査定する, 評価する<br>[sound:ukassau013.mp3]<br><img src=""paste-ae0d14654af7af73a5121570de16d22d5ca6fc2e.png"">",assess,"～を査定する, 評価する",ukassau013.mp3,paste-ae0d14654af7af73a5121570de16d22d5ca6fc2e.png
【可算名詞】資産&nbsp;<br>He'll be a great {{c1::asset}} to the team.,"asset<br>【可算名詞】資産&nbsp;<br>[sound:ukassau017.mp3]<br><img src=""asset.jpg"">",asset,【可算名詞】資産&nbsp;,ukassau017.mp3,asset.jpg
〈仕事・ものを〉割り当てる，任す<br>UN troops were {{c1::assigned}} the task of rebuilding the hospital.,"assign<br>〈仕事・ものを〉割り当てる，任す<br>[sound:ukassau022.mp3]<br><img src=""paste-c1c103843ddced7e7915772c65c4437904edf373.jpg"">",assign,〈仕事・ものを〉割り当てる，任す,ukassau022.mp3,paste-c1c103843ddced7e7915772c65c4437904edf373.jpg
"（仕事の）割当, （与えられた）仕事<br>a written {{c1::assignment}}","assignment<br>（仕事の）割当, （与えられた）仕事<br>[sound:ukassau024.mp3]<br><img src=""assignment.jpg"">",assignment,"（仕事の）割当, （与えられた）仕事",ukassau024.mp3,assignment.jpg
"（～を）手伝う, 援助する<br>The army arrived to {{c1::assist}} in the search for survivors.","assist<br>（～を）手伝う, 援助する<br>[sound:ukassau028.mp3]<br><img src=""assist.jpg"">",assist,"（～を）手伝う, 援助する",ukassau028.mp3,assist.jpg
"援助, 支援<br>financial {{c1::assistance}}","assistance<br>援助, 支援<br>[sound:ukassau029.mp3]<br><img src=""assistance.jpg"">",assistance,"援助, 支援",ukassau029.mp3,assistance.jpg
"（～であろうと）思う, 推測する<br>You weren't here, so I {{c1::assumed}} you were at home.","assume<br>（～であろうと）思う, 推測する<br>[sound:ukassiz012.mp3]<br><img src=""assume.jpg"">",assume,"（～であろうと）思う, 推測する",ukassiz012.mp3,assume.jpg
～をはり付ける<br>She {{c1::attached}} a picture to her letter.,"attach<br>～をはり付ける<br>[sound:ukatomi013.mp3]<br><img src=""attach.jpg"">",attach,～をはり付ける,ukatomi013.mp3,attach.jpg
（Eメールの）添付ファイル<br>Have you opened the {{c1::attachment}}?,"attachment<br>（Eメールの）添付ファイル<br>[sound:ukatomi016.mp3]<br><img src=""attachment.jpg"">",attachment,（Eメールの）添付ファイル,ukatomi016.mp3,attachment.jpg
（集まり）に参加する<br>He {{c1::attended}} a meeting.,"attend<br>（集まり）に参加する<br>[sound:ukatomi023.mp3]<br><img src=""attend.jpg"">",attend,（集まり）に参加する,ukatomi023.mp3,attend.jpg
"出席者（数）, 参加者（数）<br>We have seen falling {{c1::attendances}} at football grounds.","attendance<br>出席者（数）, 参加者（数）<br>[sound:ukatomi024.mp3]<br><img src=""attendance.jpg"">",attendance,"出席者（数）, 参加者（数）",ukatomi024.mp3,attendance.jpg
"（人の話に）じっと耳を傾けて, （行動を）注意深く観察して<br>an {{c1::attentive}} student","attentive<br>（人の話に）じっと耳を傾けて, （行動を）注意深く観察して<br>[sound:ukatomi028.mp3]<br><img src=""attentive.jpg"">",attentive,"（人の話に）じっと耳を傾けて, （行動を）注意深く観察して",ukatomi028.mp3,attentive.jpg
"（人）を呼び込む, 集客する<br>The museum {{c1::attracts}} more than 300,000 visitors a year.","attract<br>（人）を呼び込む, 集客する<br>[sound:ukatten011.mp3]<br><img src=""attract.jpg"">",attract,"（人）を呼び込む, 集客する",ukatten011.mp3,attract.jpg
